pnr_id,trip_id,primary_customer_id,origin,destination,itinerary_flight_keys,intl_flag,group_size,elite_status_level,fare_class_bucket,rebook_flexibility_index,loyalty_value_index,estimated_voucher_cost_usd,pnr_misconnect_prob,pnr_reaccom_complexity_score
PNR97EEA694,TRIP_4C1F59D6,CUST489439,DFW,LAX,['DL6724_20260219_148'],False,3,,Q,0.74,0.17,0,0.0,0.17
PNR54490301,TRIP_AA478D5A,CUST162678,LAX,AMS,['DL2266_20260219_086'],True,4,DIAMOND,B,0.45,0.24,0,0.0,0.18
PNRCB81E342,TRIP_DF728172,CUST560030,LAX,SEA,"['DL6709_20260219_144', 'DL1995_20260219_075']",False,1,,E,0.71,0.11,251.11,0.37,0.68
PNR5054F1FA,TRIP_3C509E6D,CUST295692,JFK,DFW,"['DL7983_20260219_016', 'DL7578_20260219_119']",False,2,,S,0.58,0.2,0,0.13,0.47
PNR82519D7A,TRIP_533FBECB,CUST410035,SEA,DTW,['DL2548_20260219_141'],False,1,,G,0.77,0.26,0,0.0,0.16
PNR27E06366,TRIP_2B876FD9,CUST749838,SLC,DTW,['DL3854_20260219_129'],False,1,,Y,0.8,0.33,0,0.0,0.11
PNRD8158ABD,TRIP_5EDDB1E2,CUST902930,LAX,LHR,['DL4768_20260219_137'],True,3,,S,0.59,0.28,0,0.0,0.13
PNRCBCA4DAA,TRIP_38E12961,CUST975763,LAX,MCO,['DL5888_20260219_028'],False,1,SILVER,B,0.86,0.26,0,0.0,0.06
PNRA4B6E4FD,TRIP_6DF75BD4,CUST651363,SEA,SEA,"['DL2548_20260219_057', 'DL6880_20260219_025']",False,1,SILVER,N,0.64,0.63,119.63,0.31,0.28
PNR47396209,TRIP_004CA271,CUST972496,SLC,LAX,['DL1900_20260219_003'],False,4,,S,0.26,0.34,0,0.0,0.07
PNREA3A308A,TRIP_EE710C7A,CUST963652,DTW,DFW,['DL2153_20260219_106'],False,3,GOLD,B,0.63,0.58,0,0.0,0.23
PNRC4470079,TRIP_E6374313,CUST206142,MCO,ATL,['DL6962_20260219_019'],False,4,DIAMOND,H,0.71,0.58,0,0.0,0.1
PNR0E56F609,TRIP_50A8C785,CUST882351,ATL,FRA,['DL4572_20260219_063'],True,2,PLATINUM,R,0.27,0.67,0,0.0,0.14
PNRCE36DBC5,TRIP_4DB0731F,CUST676680,DTW,SEA,['DL6880_20260219_109'],False,4,,K,0.48,0.2,0,0.0,0.09
PNR80860116,TRIP_A7828766,CUST985893,MCO,LAX,['DL1726_20260219_113'],False,4,PLATINUM,V,0.46,0.79,0,0.0,0.16
PNR87263F49,TRIP_49251D85,CUST477496,DTW,SLC,['DL5625_20260219_061'],False,2,,T,0.87,0.23,0,0.0,0.15
PNR8F2C0140,TRIP_C411CABA,CUST106887,SLC,JFK,['DL7666_20260219_072'],False,2,,X,0.41,0.17,0,0.0,0.26
PNRF7B185D2,TRIP_EDB199C9,CUST484914,LAX,SEA,"['DL3294_20260219_079', 'DL6880_20260219_025']",False,1,,Q,0.82,0.17,0,0.11,0.3
PNRECAA39E9,TRIP_A789C8B5,CUST281301,BOS,SLC,"['DL2546_20260219_121', 'DL5625_20260219_145']",False,4,SILVER,V,0.54,0.91,1524.56,0.37,0.76
PNR70A30CC0,TRIP_4B9C7F4D,CUST908348,MSP,AMS,"['DL7412_20260219_092', 'DL2266_20260219_002']",True,2,,M,0.43,0.36,547.44,0.36,0.84
PNR4C1D296A,TRIP_DBF314B7,CUST419588,LAX,AMS,['DL2266_20260219_002'],True,2,SILVER,B,0.57,0.39,0,0.0,0.19
PNRC8DCBEEC,TRIP_FB5E7F51,CUST889410,ATL,JFK,"['DL4076_20260219_067', 'DL7313_20260219_033']",False,1,SILVER,N,0.62,0.55,188.83,0.44,0.33
PNR5A0E9F94,TRIP_425649F2,CUST375311,LAX,DFW,"['DL2205_20260219_042', 'DL8515_20260219_097']",False,1,,B,0.26,0.25,409.53,0.27,0.2
PNR80743480,TRIP_B4079AF1,CUST379190,ATL,FRA,"['DL4337_20260219_058', 'DL5757_20260219_111']",True,1,,U,0.74,0.2,0,0.15,0.84
PNRC1CF6C94,TRIP_76E75BD7,CUST125382,LAX,CDG,"['DL2205_20260219_126', 'DL4119_20260219_081']",True,1,,E,0.74,0.15,239.89,0.29,0.76
PNR4DFEA261,TRIP_2AA04DEA,CUST309385,BOS,DTW,['DL2546_20260219_037'],False,1,PLATINUM,U,0.68,0.24,0,0.0,0.23
PNR07EFAB36,TRIP_C406CD8B,CUST114400,JFK,MCO,['DL8521_20260219_062'],False,4,PLATINUM,X,0.44,0.82,0,0.0,0.13
PNRB0595C3A,TRIP_6FC11EC0,CUST672967,MCO,JFK,['DL3693_20260219_084'],False,1,,L,0.57,0.18,0,0.0,0.17
PNR58831543,TRIP_7A2DF7E6,CUST711324,JFK,AMS,['DL6213_20260219_036'],True,2,SILVER,N,0.83,0.57,0,0.0,0.11
PNRABBB2C6F,TRIP_E2FC23A4,CUST792451,ATL,MSP,"['DL4337_20260219_058', 'DL3904_20260219_088']",False,1,SILVER,Y,0.39,0.87,0,0.08,0.63
PNR4D16DF65,TRIP_D8F104A2,CUST342397,JFK,MSP,['DL3904_20260219_004'],False,1,PLATINUM,N,0.89,0.56,0,0.0,0.23
PNR700865A3,TRIP_46D9E086,CUST308535,JFK,LHR,['DL6187_20260219_124'],True,3,,K,0.55,0.24,0,0.0,0.28
PNR548A18EE,TRIP_9CB91403,CUST119264,ATL,AMS,['DL5754_20260219_135'],True,1,,K,0.44,0.21,0,0.0,0.21
PNRD7E7D4F9,TRIP_097742D8,CUST393804,LAX,SEA,"['DL3294_20260219_079', 'DL6880_20260219_025']",False,2,PLATINUM,Y,0.36,0.41,514.28,0.43,0.21
PNR0D5794B3,TRIP_4814CC2A,CUST537605,ATL,FRA,['DL4572_20260219_133'],True,5,SILVER,U,0.37,0.24,0,0.0,0.29
PNR9912A691,TRIP_5A0FAF6F,CUST709254,MCO,JFK,['DL3693_20260219_084'],False,1,,Q,0.58,0.34,0,0.0,0.27
PNR87AF45D9,TRIP_D7221442,CUST788108,ATL,LAX,['DL6547_20260219_110'],False,6,DIAMOND,Q,0.85,0.93,0,0.0,0.13
PNR731B107D,TRIP_10F2A553,CUST862398,SEA,ATL,['DL8443_20260219_030'],False,1,GOLD,Q,0.22,0.39,0,0.0,0.29
PNRB6545C4F,TRIP_6F12E6F2,CUST259338,ATL,SEA,['DL5317_20260219_077'],False,1,PLATINUM,T,0.75,0.2,0,0.0,0.1
PNR1D9F9AEF,TRIP_15068440,CUST342129,LAX,SEA,['DL8822_20260219_068'],False,2,SILVER,U,0.68,0.42,0,0.0,0.22
PNR7E4C0F7E,TRIP_99EE1406,CUST292913,MCO,DTW,['DL3558_20260219_128'],False,3,,E,0.8,0.25,0,0.0,0.08
PNR0C36973E,TRIP_B6497091,CUST533108,JFK,DTW,['DL6858_20260219_104'],False,3,,T,0.36,0.3,0,0.0,0.1
PNR8499D2FA,TRIP_B8ECF73A,CUST358771,BOS,CDG,"['DL9947_20260219_055', 'DL8037_20260219_098']",True,3,,V,0.5,0.33,1029.52,0.4,0.76
PNR9033142F,TRIP_E0371DDF,CUST645940,JFK,LAX,['DL7983_20260219_100'],False,2,SILVER,B,0.28,0.51,0,0.0,0.27
PNRCF75F282,TRIP_168C8E8A,CUST684791,JFK,MCO,['DL8521_20260219_062'],False,2,,B,0.47,0.33,0,0.0,0.29
PNRD5CC88E6,TRIP_39F5515F,CUST542983,DFW,CDG,"['DL9431_20260219_132', 'DL4119_20260219_081']",True,4,GOLD,X,0.41,0.93,1503.92,0.23,0.82
PNRC89BABA3,TRIP_02145547,CUST916558,SEA,LAX,['DL4383_20260219_115'],False,1,,K,0.61,0.37,0,0.0,0.19
PNR7E55DC25,TRIP_FD467AFD,CUST194560,JFK,FRA,"['DL7983_20260219_100', 'DL6839_20260219_085']",True,1,,L,0.38,0.31,462.86,0.4,0.74
PNR12753433,TRIP_F17513C2,CUST189450,SEA,LAX,['DL4383_20260219_031'],False,1,SILVER,E,0.57,0.45,0,0.0,0.25
PNRA5F94A0E,TRIP_3A79868A,CUST451475,JFK,LHR,['DL6187_20260219_040'],True,1,,K,0.6,0.3,0,0.0,0.09
PNRE426F822,TRIP_4491698B,CUST424553,SLC,DTW,['DL3854_20260219_045'],False,3,,X,0.71,0.39,0,0.0,0.12
PNR98327AE0,TRIP_C61F1876,CUST996963,LAX,FRA,"['DL2205_20260219_042', 'DL4572_20260219_063']",True,1,GOLD,Y,0.55,0.83,343.19,0.23,0.49
PNRD0EC4DC0,TRIP_6DE46953,CUST673929,SEA,MCO,"['DL2548_20260219_141', 'DL3225_20260219_102']",False,1,,Y,0.39,0.29,0,0.15,0.76
PNRC0CE3C50,TRIP_0E21AAD6,CUST995304,BOS,DTW,['DL2546_20260219_037'],False,1,,Q,0.22,0.27,0,0.0,0.2
PNR6851826C,TRIP_C45249F0,CUST740774,SEA,SLC,"['DL8443_20260219_030', 'DL3565_20260219_023']",False,1,DIAMOND,K,0.66,0.73,328.91,0.32,0.55
PNR1D11C177,TRIP_A9899D0B,CUST438503,DFW,LAX,['DL6724_20260219_148'],False,1,,X,0.46,0.21,0,0.0,0.07
PNRDD09ED6D,TRIP_949FC7AA,CUST828361,BOS,ATL,['DL6033_20260219_140'],False,1,,H,0.8,0.2,0,0.0,0.15
PNRC32CDA7C,TRIP_8B8DAC9C,CUST822106,LAX,LHR,"['DL6709_20260219_060', 'DL6187_20260219_095']",True,1,,M,0.62,0.34,382.72,0.24,0.44
PNRF5DD4871,TRIP_95DA6B71,CUST236014,ATL,CDG,['DL4119_20260219_066'],True,2,DIAMOND,E,0.63,0.55,0,0.0,0.23
PNRAD993736,TRIP_66664CAB,CUST302957,MSP,ATL,['DL5568_20260219_046'],False,4,,X,0.2,0.11,0,0.0,0.21
PNRB1FEEC7F,TRIP_38B26B68,CUST687638,LAX,AMS,"['DL6709_20260219_060', 'DL6213_20260219_120']",True,2,,B,0.76,0.16,0,0.18,0.61
PNR6DBE961C,TRIP_36D28774,CUST904291,LAX,MSP,['DL1761_20260219_065'],False,3,,V,0.2,0.31,0,0.0,0.14
PNR7D42D8BE,TRIP_C4A7989B,CUST805139,LAX,BOS,['DL2656_20260219_007'],False,3,,V,0.54,0.24,0,0.0,0.06
PNRAA8D397F,TRIP_9CEE9BA7,CUST953715,MSP,FRA,"['DL5568_20260219_046', 'DL4572_20260219_147']",True,4,,V,0.49,0.32,1736.17,0.23,0.34
PNR8EBA5CD7,TRIP_388E2F59,CUST938373,JFK,AMS,['DL6213_20260219_080'],True,2,,V,0.84,0.34,0,0.0,0.07
PNRC2F205EE,TRIP_142F093F,CUST508489,JFK,DTW,"['DL7836_20260219_010', 'DL4076_20260219_067']",False,6,SILVER,K,0.33,0.21,2477.63,0.28,0.35
PNR210003E3,TRIP_D49BD3A2,CUST489633,MSP,LAX,['DL7412_20260219_008'],False,1,,U,0.52,0.39,0,0.0,0.1
PNR63821D1F,TRIP_C9BBBAE6,CUST126146,DTW,SEA,"['DL7313_20260219_033', 'DL1995_20260219_075']",False,3,GOLD,M,0.76,0.91,484.89,0.23,0.37
PNR7E7CB364,TRIP_1B0389DE,CUST962074,MSP,JFK,['DL9277_20260219_134'],False,1,,H,0.89,0.25,0,0.0,0.3
PNR93F0E74A,TRIP_5577D5EC,CUST104309,DTW,JFK,['DL7313_20260219_117'],False,1,GOLD,H,0.42,0.14,0,0.0,0.26
PNRAB7D894A,TRIP_67C8F070,CUST123572,LAX,FRA,['DL6839_20260219_085'],True,1,,X,0.6,0.19,0,0.0,0.27
PNR8F091C76,TRIP_D1B4FBC3,CUST385898,SEA,SLC,"['DL2548_20260219_057', 'DL5625_20260219_061']",False,1,,G,0.3,0.18,106.1,0.32,0.6
PNR7150195B,TRIP_40605BEE,CUST248433,LAX,AMS,['DL2266_20260219_052'],True,2,,T,0.86,0.34,0,0.0,0.19
PNR27557244,TRIP_2B80659D,CUST593602,LAX,AMS,['DL2266_20260219_086'],True,2,,Y,0.83,0.12,0,0.0,0.15
PNR67EABA74,TRIP_69B8CEEA,CUST427617,DTW,SEA,"['DL7313_20260219_117', 'DL1995_20260219_075']",False,2,PLATINUM,G,0.43,0.28,806.72,0.3,0.75
PNR670F0634,TRIP_641163A0,CUST201987,DTW,SLC,['DL5625_20260219_145'],False,1,GOLD,G,0.52,0.72,0,0.0,0.23
PNRCBF05B29,TRIP_22D55275,CUST481104,DTW,BOS,['DL7282_20260219_059'],False,4,,T,0.47,0.31,0,0.0,0.22
PNR43E765E4,TRIP_BDA0E8B1,CUST218370,DTW,MSP,['DL2163_20260219_083'],False,1,,S,0.45,0.24,0,0.0,0.09
PNR8D29D692,TRIP_B69323C8,CUST441699,ATL,FRA,['DL4572_20260219_147'],True,1,,H,0.59,0.12,0,0.0,0.13
PNR826E5706,TRIP_CA92E2C8,CUST605806,LAX,FRA,['DL6839_20260219_105'],True,1,,K,0.47,0.2,0,0.0,0.25
PNR9868269E,TRIP_BAC5D5EE,CUST281493,JFK,FRA,['DL5757_20260219_111'],True,2,,U,0.66,0.12,0,0.0,0.28
PNR9CC8E025,TRIP_625262D6,CUST682051,JFK,LHR,['DL6187_20260219_124'],True,1,,V,0.27,0.23,0,0.0,0.13
PNR12E69F26,TRIP_CA6CCF6A,CUST443312,JFK,FRA,['DL5757_20260219_027'],True,2,,N,0.55,0.3,0,0.0,0.07
PNR9CAE2573,TRIP_0A17AF23,CUST893853,DFW,LAX,['DL6724_20260219_148'],False,4,SILVER,Y,0.3,0.23,0,0.0,0.18
PNR36C527F1,TRIP_FC565DEE,CUST812569,MSP,MCO,"['DL9277_20260219_134', 'DL8521_20260219_062']",False,1,PLATINUM,X,0.41,0.95,273.89,0.28,0.89
PNRC3C6D719,TRIP_62CCC040,CUST993916,SEA,MSP,"['DL8443_20260219_030', 'DL9631_20260219_138']",False,1,DIAMOND,N,0.41,0.43,319.55,0.39,0.14
PNRD4EEA435,TRIP_244DAA1C,CUST346668,LAX,BOS,['DL2656_20260219_091'],False,1,,Y,0.5,0.28,0,0.0,0.21
PNRC3F287D3,TRIP_DB8560BF,CUST597938,MCO,ATL,['DL6962_20260219_103'],False,1,,K,0.3,0.27,0,0.0,0.26
PNRA1444137,TRIP_4DCE5537,CUST240800,LAX,CDG,['DL1275_20260219_039'],True,1,PLATINUM,Q,0.21,0.68,0,0.0,0.09
PNRA3C891B4,TRIP_352B241B,CUST773440,JFK,FRA,['DL5757_20260219_111'],True,5,,Q,0.76,0.36,0,0.0,0.27
PNRCF13D93E,TRIP_CBB6E08F,CUST678866,SEA,JFK,['DL5950_20260219_108'],False,2,,R,0.77,0.22,0,0.0,0.11
PNRD4F6E8FB,TRIP_9E9AE256,CUST846722,LAX,FRA,['DL6839_20260219_001'],True,2,GOLD,U,0.55,0.47,0,0.0,0.19
PNRD6093463,TRIP_81A73F4B,CUST824038,DTW,SLC,['DL5625_20260219_145'],False,1,,S,0.26,0.32,0,0.0,0.18
PNR15B88036,TRIP_5B0B76D3,CUST357143,SLC,ATL,['DL4098_20260219_071'],False,1,,M,0.53,0.32,0,0.0,0.29
PNR32A153C6,TRIP_CA777FE5,CUST591644,ATL,DFW,['DL8515_20260219_013'],False,4,,Y,0.52,0.37,0,0.0,0.19
PNR18891798,TRIP_C6096529,CUST691088,ATL,LHR,"['DL6547_20260219_110', 'DL4768_20260219_137']",True,1,,X,0.38,0.29,331.26,0.34,0.56
PNR196AF349,TRIP_E895F751,CUST608307,MSP,DTW,['DL4203_20260219_074'],False,3,SILVER,X,0.26,0.56,0,0.0,0.26
PNRB1329D6E,TRIP_52EAE4B2,CUST720515,LAX,CDG,"['DL2205_20260219_042', 'DL4119_20260219_081']",True,1,,H,0.72,0.3,247.91,0.29,0.24
PNR283743DD,TRIP_9C5640B1,CUST459502,LAX,JFK,['DL6709_20260219_060'],False,1,GOLD,B,0.89,0.97,0,0.0,0.2
PNR7372E8F2,TRIP_DBEFC305,CUST349505,LAX,ATL,['DL2205_20260219_126'],False,3,,N,0.66,0.32,0,0.0,0.09
PNR8CA64962,TRIP_0CD4AF55,CUST155074,JFK,MSP,['DL3904_20260219_088'],False,1,,H,0.32,0.22,0,0.0,0.13
PNRBCF33F5C,TRIP_C838714F,CUST597643,LAX,AMS,['DL2266_20260219_136'],True,1,SILVER,N,0.38,0.58,0,0.0,0.16
PNR2E5787AB,TRIP_A2C9EEF6,CUST657101,MSP,CDG,"['DL9277_20260219_134', 'DL8037_20260219_098']",True,2,DIAMOND,B,0.65,0.96,0,0.09,0.45
PNR79E7903D,TRIP_5DBF8DBB,CUST367747,ATL,AMS,['DL5754_20260219_069'],True,1,,H,0.66,0.22,0,0.0,0.24
PNR98C1C8FD,TRIP_391749B3,CUST428487,ATL,FRA,['DL4572_20260219_049'],True,2,SILVER,K,0.58,0.71,0,0.0,0.26
PNR30197A88,TRIP_1CBD0915,CUST364132,SEA,FRA,"['DL4383_20260219_031', 'DL6839_20260219_105']",True,1,,U,0.34,0.11,136.78,0.34,0.85
PNRDB77791D,TRIP_7FE7963B,CUST190582,BOS,JFK,['DL9947_20260219_055'],False,5,SILVER,H,0.8,0.22,0,0.0,0.21
PNREC3E15A4,TRIP_F84A1E1A,CUST829445,LAX,JFK,['DL6709_20260219_144'],False,3,,H,0.33,0.19,0,0.0,0.22
PNRF409FFB3,TRIP_015990E2,CUST918656,BOS,ATL,"['DL9947_20260219_139', 'DL7836_20260219_094']",False,3,SILVER,V,0.25,0.8,0,0.15,0.41
PNR432D5A80,TRIP_EE3350AD,CUST310416,JFK,MCO,"['DL6858_20260219_020', 'DL3225_20260219_102']",False,5,,G,0.63,0.15,0,0.08,0.49
PNRF8E0692C,TRIP_D1844BE2,CUST208304,MSP,MSP,"['DL5568_20260219_130', 'DL9631_20260219_054']",False,2,,G,0.22,0.12,782.04,0.34,0.72
PNR895A8A56,TRIP_4F0B2A99,CUST796889,LAX,SLC,['DL2400_20260219_038'],False,2,,B,0.47,0.15,0,0.0,0.13
PNR7B63EF5B,TRIP_E4D9DC1F,CUST985049,MCO,LHR,"['DL3693_20260219_000', 'DL6187_20260219_095']",True,2,GOLD,S,0.71,0.83,256.08,0.22,0.28
PNRCDF46E31,TRIP_F3F5A037,CUST449636,SEA,LAX,['DL4383_20260219_031'],False,2,PLATINUM,E,0.68,0.46,0,0.0,0.21
PNRB51BD21D,TRIP_84850DBB,CUST184365,ATL,SLC,['DL3565_20260219_023'],False,1,GOLD,V,0.79,0.78,0,0.0,0.12
PNRFD1451FC,TRIP_F0F0A599,CUST761249,JFK,DFW,"['DL7983_20260219_016', 'DL7578_20260219_119']",False,2,,N,0.68,0.25,908.17,0.41,0.45
PNR14B96265,TRIP_DDB73B4E,CUST612997,ATL,FRA,['DL4572_20260219_049'],True,1,DIAMOND,U,0.47,0.81,0,0.0,0.21
PNR0D734A2E,TRIP_2CCA30D5,CUST158777,SEA,LAX,['DL4383_20260219_115'],False,5,,V,0.44,0.32,0,0.0,0.15
PNRD815C8FF,TRIP_BBE30B12,CUST138669,BOS,AMS,"['DL9947_20260219_139', 'DL6213_20260219_120']",True,4,,U,0.71,0.25,430.5,0.42,0.83
PNR721218E8,TRIP_328E2FBF,CUST763393,JFK,MCO,['DL8521_20260219_062'],False,2,,K,0.23,0.19,0,0.0,0.25
PNR0970DE00,TRIP_80050161,CUST219726,ATL,MCO,['DL4870_20260219_043'],False,3,,H,0.55,0.34,0,0.0,0.11
PNR02AC9AD1,TRIP_5F2A099F,CUST439984,DTW,SEA,['DL6880_20260219_109'],False,1,GOLD,N,0.28,0.72,0,0.0,0.19
PNRDDE2E690,TRIP_47D61998,CUST894348,DFW,BOS,"['DL6724_20260219_064', 'DL2656_20260219_007']",False,2,,H,0.49,0.31,0,0.16,0.54
PNR38B159BA,TRIP_41F6BB0C,CUST915437,DFW,LAX,['DL6724_20260219_148'],False,1,,N,0.31,0.36,0,0.0,0.07
PNRC035665D,TRIP_F00F8CA9,CUST316174,SEA,FRA,"['DL8443_20260219_030', 'DL4572_20260219_147']",True,2,,S,0.3,0.18,560.34,0.33,0.29
PNRBCB58062,TRIP_BFA33819,CUST757658,MSP,ATL,['DL5568_20260219_046'],False,2,SILVER,M,0.78,0.37,0,0.0,0.15
PNR6EA8B242,TRIP_B04C7AEF,CUST748985,ATL,FRA,['DL4572_20260219_049'],True,1,,H,0.45,0.33,0,0.0,0.18
PNR69097ADE,TRIP_91A957B4,CUST597457,LAX,MSP,"['DL6709_20260219_060', 'DL3904_20260219_088']",False,1,,Q,0.55,0.15,469.07,0.32,0.14
PNRA5896DB2,TRIP_49C2FAE8,CUST876383,LAX,ATL,"['DL6709_20260219_060', 'DL7836_20260219_094']",False,1,SILVER,G,0.24,0.58,0,0.07,0.23
PNR9F1364E5,TRIP_02E66DB9,CUST883377,DTW,CDG,"['DL7313_20260219_033', 'DL8037_20260219_015']",True,4,SILVER,V,0.67,0.39,1646.36,0.22,0.36
PNRD34C7A68,TRIP_2FD6A612,CUST607938,LAX,JFK,"['DL2205_20260219_126', 'DL4337_20260219_142']",False,1,PLATINUM,M,0.24,0.49,186.47,0.24,0.59
PNR4645BE48,TRIP_CA0C20B7,CUST312033,SEA,FRA,"['DL8443_20260219_114', 'DL4572_20260219_049']",True,1,,E,0.44,0.11,327.47,0.44,0.32
PNRA7A613AE,TRIP_1BC1C9FD,CUST409499,DTW,JFK,['DL7313_20260219_117'],False,1,GOLD,U,0.62,0.81,0,0.0,0.21
PNR7AC66202,TRIP_B033E3D0,CUST190674,ATL,MCO,['DL4870_20260219_043'],False,2,,U,0.49,0.26,0,0.0,0.27
PNRB1B2895E,TRIP_6A3D59DE,CUST358635,SEA,SLC,"['DL2548_20260219_141', 'DL5625_20260219_145']",False,1,,R,0.37,0.23,188.96,0.34,0.84
PNR3053EEA2,TRIP_DCC56225,CUST142004,JFK,MCO,['DL8521_20260219_146'],False,4,,B,0.89,0.32,0,0.0,0.18
PNR53D9A249,TRIP_BD0B0AB6,CUST574419,JFK,LAX,['DL7983_20260219_100'],False,1,GOLD,H,0.55,0.17,0,0.0,0.24
PNRD924B52B,TRIP_3183C7DB,CUST350675,JFK,DTW,['DL6858_20260219_104'],False,4,,X,0.65,0.13,0,0.0,0.17
PNR6D7869CD,TRIP_764F4483,CUST245357,BOS,DTW,"['DL9947_20260219_139', 'DL6858_20260219_104']",False,2,,G,0.81,0.22,831.89,0.24,0.4
PNR65D8870D,TRIP_2484A5DD,CUST656710,MCO,JFK,['DL3693_20260219_000'],False,3,,V,0.22,0.23,0,0.0,0.12
PNRAA4B8DF3,TRIP_6BD05D2E,CUST750594,ATL,MSP,['DL9631_20260219_138'],False,2,,M,0.82,0.32,0,0.0,0.06
PNR36E3DF9E,TRIP_D4FF5A71,CUST587957,LAX,LHR,['DL4768_20260219_093'],True,4,,E,0.63,0.21,0,0.0,0.09
PNR0AEAE0B4,TRIP_B7674709,CUST451199,JFK,SLC,['DL1062_20260219_017'],False,2,GOLD,Q,0.37,0.2,0,0.0,0.17
PNR31A1FFDC,TRIP_7176FB70,CUST436030,DFW,LAX,['DL6724_20260219_148'],False,4,SILVER,U,0.45,0.34,0,0.0,0.22
PNR5D781342,TRIP_F3D013FF,CUST657742,SEA,LHR,"['DL5950_20260219_024', 'DL6187_20260219_095']",True,1,,H,0.67,0.26,216.91,0.24,0.6
PNR0AAF3B61,TRIP_DAA1CF5C,CUST184064,JFK,LAX,['DL7983_20260219_016'],False,1,PLATINUM,M,0.47,0.26,0,0.0,0.29
PNRADE4193C,TRIP_C514CD5D,CUST314178,BOS,LAX,['DL2447_20260219_070'],False,1,,Q,0.56,0.29,0,0.0,0.12
PNR391EB949,TRIP_8657A217,CUST565420,ATL,MSP,['DL9631_20260219_138'],False,4,,R,0.72,0.11,0,0.0,0.1
PNRDF44500F,TRIP_6F241CC7,CUST787614,ATL,FRA,['DL4572_20260219_133'],True,2,,V,0.65,0.2,0,0.0,0.2
PNR9E90D5EA,TRIP_A7FBFF60,CUST927691,BOS,ATL,['DL6033_20260219_140'],False,1,,Q,0.41,0.34,0,0.0,0.11
PNREE366DEF,TRIP_57DF3C79,CUST274444,MCO,AMS,"['DL3693_20260219_084', 'DL6213_20260219_120']",True,3,,X,0.63,0.15,942.38,0.23,0.25
PNREF065B32,TRIP_FF913F24,CUST562305,MSP,DFW,"['DL5568_20260219_046', 'DL8515_20260219_097']",False,1,,V,0.38,0.16,324.99,0.28,0.13
PNR51A37AAD,TRIP_94C07B79,CUST227391,SEA,AMS,"['DL5950_20260219_108', 'DL6213_20260219_036']",True,1,,K,0.84,0.22,299.77,0.26,0.22
PNR62F891AD,TRIP_F82DCD83,CUST778684,ATL,CDG,['DL4119_20260219_081'],True,1,DIAMOND,V,0.69,0.53,0,0.0,0.12
PNR5D23704E,TRIP_000D6A7D,CUST455136,JFK,MCO,['DL8521_20260219_146'],False,2,GOLD,G,0.68,0.76,0,0.0,0.28
